Product_ID,Title,Link,Category,Label_Trend,Label_Marketing,Rating,Sold,Original_Price,Current_Price,Discount_Percent
1733297936430433524,[A-480]< SALE TẾT SỚM> ÁO THUN CỔ TIM ĐÍNH ĐÁ COTTON BORIP DÀI TAY HAI LỚP ĐÍNH ĐÁ LẤP LÁNH dáng baby tee mặc đi làm đi chơi sang chản,https://www.tiktok.com/shop/vn/pdp/1733297936430433524,Womenswear & Underwear,Không,Không,4.5,29.7K,260.000₫,130.000,-50%
1733837449409562203,Set Len Thỏ Be Thêu Chữ Dáng Hàn Mix Quần Ông Xuông Mặc Sang Mà Xinh Mê,https://www.tiktok.com/shop/vn/pdp/1733837449409562203,Womenswear & Underwear,Không,Flash Sale,4.2,6.6K,425.000₫,230.000,-46%
1730855496160545249,"Áo Bra Dán caitruoc Quả Xoài Siêu Dính, Áo Dán Nâng Đẩy A39",https://www.tiktok.com/shop/vn/pdp/ao-bra-dan-cai-truoc-sieu-dinh-nang-%C4%91ay-hieu-qua-cho-vong-1/1730855496160545249,Womenswear & Underwear,Không,Không,4.1,24.9K,N/A,16.900,0%
1733792036995237280,"SB47- Set bộ thời trang năng động cổ tròn , vải thun borip dày dặn",https://www.tiktok.com/shop/vn/pdp/1733792036995237280,Womenswear & Underwear,Không,Không,4.9,1.6K,149.000₫,109.990,-26%
1732174542711261757,"Áo Thun Thái Trơn Nữ [Mã A0 ] Form vừa 40~60kg, Form rộng 50-72kg Phong cách BASIC, đồng phục hội nhóm ,đa dạng màu sắc Áo Cổ Tròn tay ngắn Cotton 4 Mềm mịn mát",https://www.tiktok.com/shop/vn/pdp/ao-thun-thai-tron-nu-form-jumbo-rong-co-gian-thoang-mat/1732174542711261757,Womenswear & Underwear,Xu hướng,Không,4.9,80.3K,79.000₫,77.420,-2%
1732217437466953954,Sét 10 Quần Lót Nữ Chất Cotton Phối Ren Mềm Mại Thoáng Khí Co Giãn 4 Chiều (nơ love),https://www.tiktok.com/shop/vn/pdp/set-10-nu-cotton-phoi-ren-thoang-khi-co-gian/1732217437466953954,Womenswear & Underwear,Không,Flash Sale,4.5,4.9K,99.000₫,59.900,-39%
1731673169221748214,Xưởng May Hân Nguyễn - B.A150 - Áo Bà Ba Gấm Tơ Hoa BaBi Cổ Tròn Nút Nụ Tay Dài Dây Kéo,https://www.tiktok.com/shop/vn/pdp/ao-ba-ba-gam-to-hoa-babi-han-nguyen-co-tron-tay-dai-%C4%91oi-size/1731673169221748214,Womenswear & Underwear,Xu hướng,Deal,4.9,1.5K,320.000₫,230.000,-28%
1730993943858743891,"Áo khoác len cho người già, Áo khoác len họa tiết sang trọng tặng bà tặng Mẹ Size 42-67kg cổ BẺ",https://www.tiktok.com/shop/vn/pdp/ao-khoac-len-nu-cao-cap-danh-cho-me-ba-size-42-67kg/1730993943858743891,Womenswear & Underwear,Không,Deal,4.6,533,250.000₫,219.000,-12%
1732323536094332011,[KÈM MÚT] Áo ống trơn basic ôm body vải cotton mịn DAZZI Women A054,https://www.tiktok.com/shop/vn/pdp/ao-nu-dazzi-om-body-vai-cotton-mem-mai-%C4%91i-dao-tiec/1732323536094332011,Womenswear & Underwear,Xu hướng,Không,4.7,220.2K,75.000₫,45.090,-40%
1730172285601155296,BEMINE Đầm Thiết Kế MT8969 Đính Nơ Eo Tùng Xếp Ly Dáng Xòe Phù Hợp Đi Làm Và Đi Tiệc Cho Nữ Màu Xanh Vàng Hồng Chất Liệu Cotton Hàn Thái,https://www.tiktok.com/shop/vn/pdp/%C4%91am-nu-cotton-co-gian-cao-cap-kieu-dang-om-ton-dang-%C4%91ep/1730172285601155296,Womenswear & Underwear,Hàng Việt,Không,4.8,14.8K,510.000₫,269.000,-47%
